"date" "fips" "county" "state" "census_region" "cases" "deaths" "pop" "land_area" "white" "black" "DemShare"
"2020-04-25" 1001 "Autauga" "Alabama" "South" 37 2 55395 594.44 78.1 18.4 0.245982180031643
"2020-04-25" 1003 "Baldwin" "Alabama" "South" 154 3 200111 1589.78 87.3 9.5 0.201877419425589
"2020-04-25" 1005 "Barbour" "Alabama" "South" 33 0 26887 884.88 50.2 47.6 0.471641210234459
"2020-04-25" 1007 "Bibb" "Alabama" "South" 35 0 22506 622.58 76.3 22.1 0.217729754850703
"2020-04-25" 1009 "Blount" "Alabama" "South" 31 0 57719 644.78 96 1.8 0.0861447231348666
"2020-04-25" 1011 "Bullock" "Alabama" "South" 12 0 10764 622.81 27.2 69.9 0.756050546155494
"2020-04-25" 1013 "Butler" "Alabama" "South" 28 0 20296 776.83 54.3 43.6 0.431741605669804
"2020-04-25" 1015 "Calhoun" "Alabama" "South" 90 3 115916 605.87 76 20.9 0.286891304347826
"2020-04-25" 1017 "Chambers" "Alabama" "South" 284 18 34076 596.53 58.8 39.1 0.424812030075188
"2020-04-25" 1019 "Cherokee" "Alabama" "South" 12 0 26037 553.7 93.2 4.5 0.147488628665441
"2020-04-25" 1021 "Chilton" "Alabama" "South" 49 1 43931 692.85 87.5 10.3 0.161817878400178
"2020-04-25" 1023 "Choctaw" "Alabama" "South" 27 0 13323 913.5 56.2 42.7 0.431146858965469
"2020-04-25" 1025 "Clarke" "Alabama" "South" 25 1 24945 1238.47 54.1 44.2 0.44551907027533
"2020-04-25" 1027 "Clay" "Alabama" "South" 19 1 13552 603.96 83 14.4 0.190903465346535
"2020-04-25" 1029 "Cleburne" "Alabama" "South" 12 1 15080 560.1 94.7 3.6 0.106508875739645
"2020-04-25" 1031 "Coffee" "Alabama" "South" 88 0 50909 678.97 76.7 17.5 0.209500974074629
"2020-04-25" 1033 "Colbert" "Alabama" "South" 23 2 54543 592.62 80.8 16.4 0.303822770050804
"2020-04-25" 1035 "Conecuh" "Alabama" "South" 9 0 12670 850.16 52.1 46 0.473464979944462
"2020-04-25" 1037 "Coosa" "Alabama" "South" 29 1 10886 650.93 66.5 31.3 0.345228859581071
"2020-04-25" 1039 "Covington" "Alabama" "South" 32 0 37914 1030.46 84.6 12.7 0.152490224985578
"2020-04-25" 1041 "Crenshaw" "Alabama" "South" 10 0 13977 608.84 71.9 24.1 0.269355361192096
"2020-04-25" 1043 "Cullman" "Alabama" "South" 49 0 81289 734.84 96.2 1.4 0.10229267222466
"2020-04-25" 1045 "Dale" "Alabama" "South" 25 0 49484 561.15 75.3 19.6 0.2421179830825
"2020-04-25" 1047 "Dallas" "Alabama" "South" 32 2 41711 978.7 29 69.6 0.689199355185384
"2020-04-25" 1049 "DeKalb" "Alabama" "South" 63 2 71065 777.09 92.4 2 0.144613330191273
"2020-04-25" 1051 "Elmore" "Alabama" "South" 77 1 80977 618.49 76.2 21.1 0.233975870198308
"2020-04-25" 1053 "Escambia" "Alabama" "South" 22 1 37733 945.08 62.4 32.2 0.313618157543391
"2020-04-25" 1055 "Etowah" "Alabama" "South" 123 8 103531 534.99 81.3 15.5 0.243632597335342
"2020-04-25" 1057 "Fayette" "Alabama" "South" 5 0 16874 627.66 86.4 11.8 0.168423663648766
"2020-04-25" 1059 "Franklin" "Alabama" "South" 38 0 31601 633.82 92.3 4.3 0.188373488810769
